"m","d","surname","firstName","start","end","tipoElezione","coverage","lista","procl"
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307507_20180309","http://dati.camera.it/ocd/deputato.rdf/d307507_18","MOLINARI","RICCARDO","20180309","20221012","maggioritario","PIEMONTE 2 - 01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307137_20180309","http://dati.camera.it/ocd/deputato.rdf/d307137_18","MOSCHIONI","DANIELE","20180309","20221012","maggioritario","FRIULI-VENEZIA GIULIA - 01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307137_20180309","http://dati.camera.it/ocd/deputato.rdf/d307137_18","MOSCHIONI","DANIELE","20180309","20221012","maggioritario","FRIULI-VENEZIA GIULIA - 01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307130_20180309","http://dati.camera.it/ocd/deputato.rdf/d307130_18","MULE'","GIORGIO","20180309","20221012","maggioritario","LIGURIA - 01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307454_20180309","http://dati.camera.it/ocd/deputato.rdf/d307454_18","NEVI","RAFFAELE","20180309","20221012","maggioritario","UMBRIA - 01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307454_20180309","http://dati.camera.it/ocd/deputato.rdf/d307454_18","NEVI","RAFFAELE","20180309","20221012","maggioritario","UMBRIA - 01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_306641_20180309","http://dati.camera.it/ocd/deputato.rdf/d306641_18","PADOAN","PIETRO CARLO","20180309","20201104","maggioritario","TOSCANA - 04",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_306641_20180309","http://dati.camera.it/ocd/deputato.rdf/d306641_18","PADOAN","PIETRO CARLO","20180309","20201104","maggioritario","TOSCANA - 04",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307128_20180309","http://dati.camera.it/ocd/deputato.rdf/d307128_18","PATASSINI","TULLIO","20180309","20221012","maggioritario","MARCHE - 01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307128_20180309","http://dati.camera.it/ocd/deputato.rdf/d307128_18","PATASSINI","TULLIO","20180309","20221012","maggioritario","MARCHE - 01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307122_20180309","http://dati.camera.it/ocd/deputato.rdf/d307122_18","PAXIA","MARIA LAURA","20180309","20221012","maggioritario","SICILIA 2 - 02",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307122_20180309","http://dati.camera.it/ocd/deputato.rdf/d307122_18","PAXIA","MARIA LAURA","20180309","20221012","maggioritario","SICILIA 2 - 02",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307112_20180309","http://dati.camera.it/ocd/deputato.rdf/d307112_18","PENNA","LEONARDO SALVATORE","20180309","20221012","maggioritario","SICILIA 1 - 01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307112_20180309","http://dati.camera.it/ocd/deputato.rdf/d307112_18","PENNA","LEONARDO SALVATORE","20180309","20221012","maggioritario","SICILIA 1 - 01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307136_20180309","http://dati.camera.it/ocd/deputato.rdf/d307136_18","PETTARIN","GUIDO GERMANO","20180309","20221012","maggioritario","FRIULI-VENEZIA GIULIA - 01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307136_20180309","http://dati.camera.it/ocd/deputato.rdf/d307136_18","PETTARIN","GUIDO GERMANO","20180309","20221012","maggioritario","FRIULI-VENEZIA GIULIA - 01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307115_20180309","http://dati.camera.it/ocd/deputato.rdf/d307115_18","PIGNATONE","DEDALO COSIMO GAETANO","20180309","20221012","maggioritario","SICILIA 1 - 03",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307115_20180309","http://dati.camera.it/ocd/deputato.rdf/d307115_18","PIGNATONE","DEDALO COSIMO GAETANO","20180309","20221012","maggioritario","SICILIA 1 - 03",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_305578_20180309","http://dati.camera.it/ocd/deputato.rdf/d305578_18","PLANGGER","ALBRECHT","20180309","20221012","maggioritario","TRENTINO-ALTO ADIGE/SÜDTIROL - 01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_305578_20180309","http://dati.camera.it/ocd/deputato.rdf/d305578_18","PLANGGER","ALBRECHT","20180309","20221012","maggioritario","TRENTINO-ALTO ADIGE/SÜDTIROL - 01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307452_20180309","http://dati.camera.it/ocd/deputato.rdf/d307452_18","PRISCO","EMANUELE","20180309","20221012","maggioritario","UMBRIA - 01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307452_20180309","http://dati.camera.it/ocd/deputato.rdf/d307452_18","PRISCO","EMANUELE","20180309","20221012","maggioritario","UMBRIA - 01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307133_20180309","http://dati.camera.it/ocd/deputato.rdf/d307133_18","RIZZONE","MARCO","20180309","20221012","maggioritario","LIGURIA - 02",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_306181_20180309","http://dati.camera.it/ocd/deputato.rdf/d306181_18","ROMANO","ANDREA","20180309","20221012","maggioritario","TOSCANA - 02",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307163_20180309","http://dati.camera.it/ocd/deputato.rdf/d307163_18","ROSPI","GIANLUCA","20180309","20221012","maggioritario","BASILICATA - 01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307124_20180309","http://dati.camera.it/ocd/deputato.rdf/d307124_18","SAITTA","EUGENIO","20180309","20221012","maggioritario","SICILIA 2 - 03",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307124_20180309","http://dati.camera.it/ocd/deputato.rdf/d307124_18","SAITTA","EUGENIO","20180309","20221012","maggioritario","SICILIA 2 - 03",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_305684_20180309","http://dati.camera.it/ocd/deputato.rdf/d305684_18","SAVINO","SANDRA","20180309","20221012","maggioritario","FRIULI-VENEZIA GIULIA - 01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307139_20180309","http://dati.camera.it/ocd/deputato.rdf/d307139_18","SILLI","GIORGIO","20180309","20221012","maggioritario","TOSCANA - 01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307139_20180309","http://dati.camera.it/ocd/deputato.rdf/d307139_18","SILLI","GIORGIO","20180309","20221012","maggioritario","TOSCANA - 01",,
