"s","lastName","firstName","leg","inizio","fine","carica","gruppo","gruppoLabel"
"http://dati.senato.it/senatore/36413","Occhiuto","Mario",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/56",
"http://dati.senato.it/senatore/36414","Orsomarso","Fausto",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/85",
"http://dati.senato.it/senatore/32677","Ostellari","Andrea",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/33",
"http://dati.senato.it/senatore/34243","Paganella","Andrea",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/33",
"http://dati.senato.it/senatore/33005","Paita","Raffaella",19,2022-10-18,2023-07-19,"Presidente","http://dati.senato.it/gruppo/91",
"http://dati.senato.it/senatore/33005","Paita","Raffaella",19,2023-07-20,2025-03-03,"Membro","http://dati.senato.it/gruppo/91",
"http://dati.senato.it/senatore/33005","Paita","Raffaella",19,2025-03-04,,"Presidente","http://dati.senato.it/gruppo/91",
"http://dati.senato.it/senatore/4512","Paroli","Adriano",19,2022-10-18,2022-11-07,"Membro","http://dati.senato.it/gruppo/56",
"http://dati.senato.it/senatore/4512","Paroli","Adriano",19,2022-11-08,2026-03-30,"Vicepresidente Vicario","http://dati.senato.it/gruppo/56",
"http://dati.senato.it/senatore/4512","Paroli","Adriano",19,2026-03-31,,"Vicepresidente","http://dati.senato.it/gruppo/56",
"http://dati.senato.it/senatore/29521","Parrini","Dario",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/49",
"http://dati.senato.it/senatore/36415","Patton","Pietro",19,2022-10-18,,"Tesoriere","http://dati.senato.it/gruppo/69",
"http://dati.senato.it/senatore/32681","Patuanelli","Stefano",19,2022-10-18,2023-04-17,"Membro","http://dati.senato.it/gruppo/71",
"http://dati.senato.it/senatore/32681","Patuanelli","Stefano",19,2023-04-18,2026-02-25,"Presidente","http://dati.senato.it/gruppo/71",
"http://dati.senato.it/senatore/32681","Patuanelli","Stefano",19,2026-02-26,,"Membro","http://dati.senato.it/gruppo/71",
"http://dati.senato.it/senatore/35489","Pellegrino","Cinzia",19,2023-05-09,,"Membro","http://dati.senato.it/gruppo/85",
"http://dati.senato.it/senatore/3900","Pera","Marcello",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/85",
"http://dati.senato.it/senatore/25429","Petrenga","Giovanna",19,2022-10-18,2022-11-07,"Membro","http://dati.senato.it/gruppo/92",
"http://dati.senato.it/senatore/25429","Petrenga","Giovanna",19,2022-11-08,,"Segretario","http://dati.senato.it/gruppo/92",
"http://dati.senato.it/senatore/36416","Petrucci","Simona",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/85",
"http://dati.senato.it/senatore/30512","Piano","Renzo",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/9",
"http://dati.senato.it/senatore/36417","Pirondini","Luca",19,2022-10-18,2026-02-25,"Membro","http://dati.senato.it/gruppo/71",
"http://dati.senato.it/senatore/36417","Pirondini","Luca",19,2026-02-26,,"Presidente","http://dati.senato.it/gruppo/71",
"http://dati.senato.it/senatore/18562","Pirovano","Daisy",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/33",
