"s","lastName","firstName","m","leg","inizio","fine","tipoMandato","tipoElezione","regione","collegio","tipoFine"
"http://dati.senato.it/senatore/32747","Damiani","Dario","http://dati.senato.it/mandato/S_19_32747_1",19,2022-10-13,,"elettivo","Eletto proporzionale dalla XVIII legislatura","Puglia",,
"http://dati.senato.it/senatore/32898","De Carlo","Luca","http://dati.senato.it/mandato/S_19_32898_1",19,2022-10-13,,"elettivo","Eletto uninominale dalla XVIII legislatura","Veneto","VENETO - U02 (TREVISO)",
"http://dati.senato.it/senatore/22918","De Cristofaro","Peppe","http://dati.senato.it/mandato/S_19_22918_1",19,2022-10-13,,"elettivo","Eletto proporzionale dalla XVIII legislatura","Lazio",,
"http://dati.senato.it/senatore/22814","De Poli","Antonio","http://dati.senato.it/mandato/S_19_22814_1",19,2022-10-13,,"elettivo","Eletto uninominale dalla XVIII legislatura","Marche","MARCHE - U02 (ANCONA)",
"http://dati.senato.it/senatore/36393","De Priamo","Andrea","http://dati.senato.it/mandato/S_19_36393_1",19,2022-10-13,,"elettivo","Eletto proporzionale dalla XVIII legislatura","Lazio",,
"http://dati.senato.it/senatore/36394","De Rosa","Raffaele","http://dati.senato.it/mandato/S_19_36394_1",19,2022-10-13,,"elettivo","Eletto uninominale dalla XVIII legislatura","Campania","CAMPANIA - U07 (ACERRA)",
"http://dati.senato.it/senatore/36395","Della Porta","Costanzo","http://dati.senato.it/mandato/S_19_36395_1",19,2022-10-13,,"elettivo","Eletto proporzionale dalla XVIII legislatura","Molise",,
"http://dati.senato.it/senatore/28670","Delrio","Graziano","http://dati.senato.it/mandato/S_19_28670_1",19,2022-10-13,,"elettivo","Eletto proporzionale dalla XVIII legislatura","Emilia-Romagna",,
"http://dati.senato.it/senatore/32619","Di Girolamo","Gabriella","http://dati.senato.it/mandato/S_19_32619_1",19,2022-10-13,,"elettivo","Eletto proporzionale dalla XVIII legislatura","Abruzzo",,
"http://dati.senato.it/senatore/36396","Dreosto","Marco","http://dati.senato.it/mandato/S_19_36396_1",19,2022-10-13,,"elettivo","Eletto proporzionale dalla XVIII legislatura","Friuli-Venezia Giulia",,
"http://dati.senato.it/senatore/33096","Durigon","Claudio","http://dati.senato.it/mandato/S_19_33096_1",19,2022-10-13,,"elettivo","Eletto uninominale dalla XVIII legislatura","Lazio","LAZIO - U01 (VITERBO)",
"http://dati.senato.it/senatore/32624","Durnwalder","Meinhard","http://dati.senato.it/mandato/S_19_32624_1",19,2022-10-13,,"elettivo","Eletto uninominale dalla XVIII legislatura","Trentino-Alto Adige","TRENTINO-ALTO ADIGE/SÜDTIROL - U06 (BRESSANONE/BRIXEN)",
"http://dati.senato.it/senatore/36398","Fallucchi","Anna Maria","http://dati.senato.it/mandato/S_19_36398_1",19,2022-10-13,,"elettivo","Eletto uninominale dalla XVIII legislatura","Puglia","PUGLIA - U01 (FOGGIA)",
